"Date Recorded","Currently Processing", "Wait Time (months)"
"Thu Oct 19 2017","Thu Dec 15 2016","10.3"
"Mon Oct 23 2017","Thu Dec 15 2016","10.4"
"Thu Oct 26 2017","Thu Dec 15 2016","10.5"
"Tue Nov 07 2017","Thu Dec 15 2016","10.9"
"Tue Nov 14 2017","Sun Dec 25 2016","10.8"
"Fri Nov 24 2017","Sun Dec 25 2016","11.2"
"Mon Dec 11 2017","Sun Dec 25 2016","11.7"
"Sun Dec 31 2017","Tue Jan 03 2017","12.1"
"Mon Jan 01 2018","Tue Jan 03 2017","12.1"
"Wed Jan 03 2018","Tue Jan 03 2017","12.2"
"Fri Jan 05 2018","Tue Jan 03 2017","12.3"
"Tue Jan 09 2018","Tue Jan 03 2017","12.4"
"Thu Jan 11 2018","Tue Jan 03 2017","12.4"
"Tue Jan 16 2018","Tue Jan 03 2017","12.6"
"Tue Jan 23 2018","Tue Jan 03 2017","12.9"
